Wall time,Step,Value
1736392257,0,1.187709093
1736392260,2,1.182514429
1736392262,3,1.185212255
1736392263,4,1.187566996
1736392266,7,1.183186054
1736392269,9,1.166623831
1736392270,10,1.165745258
1736392271,11,1.167730331
1736392274,14,1.152876139
1736392275,15,1.147628546
1736392276,16,1.146589875
1736392279,18,1.136248589
1736392280,19,1.125682473
1736392281,20,1.122830272
1736392283,22,1.111342788
1736392284,23,1.103778481
1736392287,26,1.081343055
1736392289,27,1.074577332
1736392291,28,1.072279572
1736392292,29,1.065423727
1736392293,30,1.055494547
1736392294,31,1.047901273
1736392295,32,1.037219405
1736392296,33,1.034298897
1736392297,34,1.020668507
1736392300,36,1.004701734
1736392301,37,0.993536234
1736392302,38,0.986822903
1736392303,39,0.97975266
1736392304,40,0.968062282
1736392306,42,0.9449054
1736392308,43,0.95084691
1736392343,47,0.900771677
1736392345,48,0.895022511
1736392348,49,0.890778959
1736392351,50,0.878032804
1736392353,51,0.867892802
1736392356,52,0.852102757
1736392358,53,0.855919659
1736392361,54,0.845048368
1736392363,55,0.823860466
1736392369,57,0.81722486
1736392376,60,0.762423277
1736392378,61,0.769333243
1736392381,62,0.752111137
1736392383,63,0.738836467
1736392389,65,0.713113129
1736392391,66,0.702629983
1736392394,67,0.705437362
1736392396,68,0.696874797
1736392400,70,0.661145985
1736392403,71,0.65761292
1736392408,73,0.634876847
1736392414,75,0.615037739
1736392419,77,0.60286063
1736392422,78,0.596335351
1736392425,79,0.591753066
1736392427,80,0.55538553
1736392430,81,0.566534996
1736392433,82,0.55166316
1736392435,83,0.545254529
1736392438,85,0.507668078
1736392439,86,0.534248352
1736392442,87,0.486586362
1736392443,89,0.474816293
1736392472,90,0.48230961
1736392474,92,0.435571402
1736392477,94,0.447286546
1736392480,95,0.429666042
1736392481,96,0.419826359
1736392484,99,0.408519566
1736392485,100,0.37498346
1736392489,103,0.381799012
1736392490,104,0.322011441
1736392493,106,0.33890906
1736392494,107,0.317129046
1736392495,108,0.303676188
1736392496,109,0.306212097
1736392497,110,0.280708641
1736392499,111,0.274205804
1736392501,112,0.288217813
1736392504,114,0.30999735
1736392505,115,0.246431246
1736392506,116,0.249937594
1736392508,117,0.22810483
1736392512,120,0.2222431
1736392513,121,0.228510007
1736392518,125,0.187220737
1736392519,126,0.205621317
1736392520,127,0.196677759
1736392521,128,0.191906244
1736392523,129,0.161880523
1736392524,130,0.165932894
1736392525,131,0.193610504
1736392526,132,0.157369047
1736392528,134,0.15202646
1736392559,136,0.164099246
1736392562,137,0.132975444
1736392565,138,0.147132128
1736392567,139,0.155129194
1736392569,140,0.145425767
1736392572,141,0.141992077
1736392577,143,0.158768252
1736392580,144,0.147807226
1736392582,145,0.121070676
1736392585,146,0.119323641
1736392587,147,0.147683993
1736392590,148,0.147289529
1736392596,150,0.09819717
1736392605,154,0.10639558
1736392611,156,0.090808429
1736392613,157,0.104217269
1736392616,158,0.100359425
1736392619,159,0.131247237
1736392622,160,0.085068576
1736392624,161,0.091523953
1736392627,162,0.079886556
1736392630,163,0.089573398
1736392632,164,0.096074119
1736392638,166,0.092375435
1736392643,168,0.088094398
1736392646,169,0.091300994
1736392649,170,0.076724432
1736392652,171,0.092781968
1736392655,172,0.087635197
1736392660,174,0.067885466
1736392663,175,0.072918341
1736392665,176,0.092868544
1736392667,177,0.071812257
1736392668,178,0.069072701
1736392697,180,0.082803212
1736392699,181,0.081394181
1736392700,182,0.062083591
1736392701,183,0.075051591
1736392702,184,0.081041254
1736392703,185,0.076782107
1736392705,186,0.076894596
1736392708,189,0.085659251
1736392709,190,0.065489233
1736392711,191,0.066783272
1736392712,192,0.09053722
1736392713,193,0.092558146
1736392716,195,0.055671427
1736392718,197,0.065885521
1736392719,198,0.058624137
1736392721,199,0.065406598
1736392723,200,0.056087613
1736392726,202,0.065570824
1736392727,203,0.062529795
1736392728,204,0.088209905
1736392729,205,0.053337578
1736392730,206,0.058632985
1736392732,207,0.051023025
1736392733,208,0.059753392
1736392734,209,0.064535774
1736392735,210,0.057731815
1736392736,211,0.061982658
1736392739,213,0.059248496
1736392743,215,0.052734438
1736392745,216,0.065319642
1736392747,218,0.060929835
1736392749,219,0.047001157
1736392751,220,0.050721593
1736392752,221,0.065891899
1736392753,222,0.05069454
1736392755,224,0.048096858
1736392783,225,0.059334848
1736392784,226,0.057935648
1736392788,229,0.059305217
1736392793,231,0.056867734
1736392796,232,0.047668386
1736392799,233,0.071163155
1736392802,234,0.064304151
1736392804,235,0.048525922
1736392807,236,0.049884703
1736392810,237,0.068612196
1736392813,238,0.072188959
1736392815,239,0.038321435
1736392820,241,0.055686235
1736392823,242,0.049027611
1736392829,244,0.048982728
1736392832,245,0.041704524
1736392834,246,0.041001666
1736392837,247,0.048975512
1736392839,248,0.046223078
1736392842,249,0.068042852
1736392850,252,0.038284857
1736392853,253,0.045401145
1736392856,254,0.049222868
1736392859,255,0.043944996
1736392865,257,0.044592902
1736392867,258,0.044997547
1736392870,259,0.047544487
1736392873,260,0.040565789
1736392879,262,0.048144419
1736392881,263,0.046666343
1736392886,265,0.03872177
1736392894,268,0.037230764
1736392922,270,0.046231966
1736392923,271,0.044468157
1736392926,273,0.042698026
1736392927,274,0.046298664
1736392929,275,0.044176485
1736392931,276,0.044583488
1736392934,278,0.05802238
1736392935,279,0.051642615
1736392937,280,0.037561517
1736392938,281,0.03888616
1736392939,282,0.056263711
1736392941,283,0.06004687
1736392942,284,0.02965186
1736392943,285,0.031694464
1736392944,286,0.046213213
1736392946,287,0.038580265
1736392947,288,0.033806272
1736392952,290,0.032831803
1736392954,291,0.032263841
1736392960,295,0.031202985
1736392962,296,0.03468015
1736392963,297,0.030091355
1736392964,298,0.036671724
1736392966,299,0.039400652
1736392967,300,0.034862977
1736392971,303,0.035900943
1736392972,304,0.037984364
1736392973,305,0.032550953
1736392974,306,0.040794499
1736392976,307,0.038900197
1736392977,308,0.037352808
1736392978,309,0.02836711
1736392982,311,0.040397041
1736392983,312,0.031404749
1736392985,313,0.029586328
1736392986,314,0.028767675
1736393013,315,0.037258845
1736393015,316,0.035021782
1736393017,318,0.034471933
1736393018,319,0.037116271
1736393020,320,0.035487168
1736393021,321,0.035751339
1736393023,322,0.029492127
1736393026,324,0.042322975
1736393034,327,0.046392325
1736393039,329,0.023418536
1736393042,330,0.025361648
1736393045,331,0.040075544
1736393048,332,0.032089226
1736393051,333,0.027468806
1736393053,334,0.032593027
1736393059,336,0.025956525
1736393062,337,0.033779893
1736393064,338,0.030012393
1736393070,340,0.025728805
1736393075,342,0.024834633
1736393077,343,0.030830033
1736393080,344,0.033102233
1736393083,345,0.028952897
1736393086,346,0.030904336
1736393088,347,0.029218461
1736393091,348,0.029736705
1736393094,349,0.03169927
1736393096,350,0.027105654
1736393102,352,0.032231402
1736393104,353,0.03120772
1736393107,354,0.023452785
1736393110,355,0.025600933
1736393115,357,0.026465757
1736393117,358,0.024263922
1736393149,360,0.031262774
1736393150,361,0.028983137
1736393152,362,0.021721762
1736393153,363,0.028650803
1736393154,364,0.031003973
1736393155,365,0.029402614
1736393156,366,0.029911492
1736393157,367,0.024289109
1736393158,368,0.04010836
1736393160,369,0.035894115
1736393165,373,0.042523496
1736393166,374,0.019012252
1736393168,375,0.020778582
1736393170,377,0.026368801
1736393171,378,0.022557985
1736393174,381,0.021217385
1736393175,382,0.026505111
1736393178,384,0.039261844
1736393179,385,0.020824099
1736393181,386,0.02328277
1736393185,389,0.027301423
1736393186,390,0.02388024
1736393188,391,0.025439216
1736393190,392,0.024017453
1736393192,393,0.024576932
1736393193,394,0.026176419
1736393194,395,0.022564638
1736393195,396,0.028303308
1736393196,397,0.026702179
1736393197,398,0.02556074
1736393198,399,0.019085327
1736393200,400,0.020819856
1736393201,401,0.028011104
1736393202,402,0.021611635
1736393204,404,0.019257877
1736393231,405,0.025808744
1736393233,406,0.023716182
1736393234,407,0.017691692
1736393235,408,0.023750523
1736393236,409,0.025500515
1736393239,412,0.020147111
1736393240,413,0.034713581
1736393241,414,0.031913657
1736393243,415,0.020868331
1736393247,418,0.041023694
1736393248,419,0.01580292
1736393252,421,0.030549804
1736393253,422,0.023631394
1736393255,424,0.023919167
1736393256,425,0.019273631
1736393257,426,0.018534319
1736393259,427,0.023160284
1736393261,429,0.035399772
1736393262,430,0.017549261
1736393264,431,0.020101586
1736393267,434,0.024245808
1736393268,435,0.020564808
1736393271,436,0.022247534
1736393274,437,0.020779869
1736393277,438,0.021308174
1736393279,439,0.022894979
1736393282,440,0.019499147
1736393285,441,0.024737606
1736393290,443,0.022310596
1736393293,444,0.016283542
1736393296,445,0.017940082
1736393298,446,0.024611756
1736393334,450,0.022506731
1736393337,451,0.020448012
1736393339,452,0.015061487
1736393342,453,0.020865142
1736393344,454,0.02224231
1736393350,456,0.021701526
1736393355,458,0.030274689
1736393361,460,0.017938118
1736393364,461,0.018739901
1736393366,462,0.028841568
1736393369,463,0.034612723
1736393372,464,0.013519421
1736393374,465,0.015405891
1736393377,466,0.027599443
1736393382,468,0.018210495
1736393385,469,0.021567957
1736393388,470,0.018551778
1736393389,471,0.01563549
1736393391,473,0.01877101
1736393392,474,0.031776164
1736393393,475,0.016679306
1736393397,478,0.020886136
1736393398,479,0.021499285
1736393399,480,0.018822739
1736393402,481,0.01950315
1736393403,482,0.0183351
1736393404,483,0.019202646
1736393405,484,0.020631453
1736393407,486,0.022219814
1736393409,487,0.020993527
1736393410,488,0.019652268
1736393411,489,0.014198088
1736393412,490,0.015663894
1736393413,491,0.022447551
1736393416,494,0.014302744
1736393443,495,0.020083245
1736393446,497,0.013028008
1736393448,498,0.018541958
1736393449,499,0.019761315
1736393451,501,0.019310437
1736393453,502,0.015114118
1736393454,503,0.027403409
1736393457,506,0.016703185
1736393458,507,0.026312815
1736393459,508,0.029834446
1736393462,509,0.011523515
1736393463,510,0.012980377
1736393464,511,0.021910304
1736393465,512,0.017088838
1736393466,513,0.014542188
1736393467,514,0.018182848
1736393470,516,0.013131646
1736393471,517,0.017650237
1736393472,518,0.015869642
1736393473,519,0.027160039
1736393474,520,0.013867278
1736393476,521,0.015782343
1736393478,523,0.017609444
1736393481,526,0.017321756
1736393483,527,0.015886022
1736393486,530,0.014932185
1736393488,532,0.018046662
1736393489,533,0.016966697
1736393491,534,0.012436132
1736393492,535,0.013602767
1736393494,536,0.019111939
1736393495,537,0.014219284
1736393496,538,0.013077004
1736393496,539,0.012239285
1736393527,540,0.017622471
1736393530,541,0.015583361
1736393532,542,0.011200603
1736393534,543,0.016341316
1736393537,544,0.016941294
1736393542,546,0.016806312
1736393545,547,0.013119386
1736393548,548,0.02423498
1736393553,550,0.013254826
1736393559,552,0.022835933
1736393561,553,0.026507059
1736393564,554,0.009738091
1736393567,555,0.011111511
1736393569,556,0.019273032
1736393575,558,0.012512092
1736393577,559,0.016166504
1736393583,561,0.011696337
1736393585,562,0.015078709
1736393588,563,0.013889419
1736393591,564,0.024473036
1736393596,566,0.013876391
1736393599,567,0.011029837
1736393601,568,0.014824867
1736393604,569,0.016913125
1736393609,571,0.014982988
1736393615,573,0.014624968
1736393620,575,0.013164406
1736393623,576,0.01729624
1736393626,577,0.016095812
1736393632,580,0.012167905
1736393636,584,0.010953347
1736393663,585,0.015650371
1736393664,586,0.013911756
1736393667,588,0.014615612
1736393668,589,0.015157766
1736393669,590,0.015074316
1736393671,591,0.01513284
1736393673,592,0.011836611
1736393674,593,0.021687338
1736393675,594,0.019932257
1736393676,595,0.011784015
1736393677,596,0.012744406
1736393679,597,0.020061199
1736393680,598,0.023962613
1736393681,599,0.008378279
1736393684,601,0.018010862
1736393685,602,0.013265287
1736393686,603,0.01099648
1736393688,604,0.014341959
1736393690,605,0.011133798
1736393692,607,0.013552366
1736393693,608,0.012047428
1736393695,609,0.022100532
1736393696,610,0.00989248
1736393699,613,0.013387068
1736393701,614,0.014883128
1736393704,616,0.013189933
1736393705,617,0.012629407
1736393706,618,0.013158252
1736393707,619,0.014444085
1736393709,620,0.01181863
1736393711,621,0.015513198
1736393713,622,0.014459936
1736393714,623,0.013856718
1736393716,625,0.01074687
1736393717,626,0.015942877
1736393718,627,0.011436709
1736393719,628,0.010438663
1736393720,629,0.009657767
1736393752,632,0.008628217
1736393754,633,0.012999912
1736393757,634,0.013789801
1736393760,635,0.013610572
1736393763,636,0.013745894
1736393766,637,0.010524743
1736393773,640,0.010605223
1736393776,641,0.011489446
1736393778,642,0.01857307
1736393781,643,0.02201351
1736393784,644,0.007471913
1736393786,645,0.00862502
1736393795,648,0.009390917
1736393797,649,0.013302161
1736393802,651,0.009222521
1736393805,652,0.012471733
1736393808,653,0.01098814
1736393811,654,0.020124532
1736393813,655,0.008855945
1736393822,658,0.012044211
1736393825,659,0.01340321
1736393828,660,0.011159371
1736393830,661,0.012148996
1736393836,663,0.012077137
1736393841,665,0.010891674
1736393847,667,0.013196795
1736393852,669,0.008554484
1736393855,670,0.009808151
1736393857,671,0.015026326
1736393860,672,0.010546179
1736393862,673,0.009570798
1736393890,675,0.013237072
1736393892,676,0.011627552
1736393894,677,0.007888754
1736393895,678,0.011978819
1736393896,679,0.012892278
1736393897,680,0.012647711
1736393899,682,0.009766284
1736393900,683,0.01899673
1736393902,684,0.01745191
1736393903,685,0.009775306
1736393905,687,0.017559232
1736393906,688,0.020956106
1736393907,689,0.006797133
1736393908,690,0.008039179
1736393912,692,0.011402984
1736393913,693,0.008942402
1736393914,694,0.012594806
1736393915,695,0.009652945
1736393916,696,0.008460669
1736393917,697,0.011837489
1736393920,699,0.018936418
1736393921,700,0.008134157
1736393923,702,0.007926281
1736393924,703,0.011430581
1736393926,705,0.010507894
1736393930,708,0.01124265
1736393931,709,0.01242135
1736393932,710,0.010045503
1736393936,712,0.012458828
1736393937,713,0.011592904
1736393939,715,0.009020544
1736393942,716,0.013899886
1736393943,717,0.009539106
1736393945,719,0.008057391
1736393972,720,0.012391486
1736393973,721,0.010617132
1736393974,722,0.007135842
1736393975,723,0.011127805
1736393976,724,0.011809988
1736393977,725,0.01184714
1736393978,726,0.011809326
1736393980,727,0.00905657
1736393981,728,0.017746599
1736393982,729,0.016270721
1736393983,730,0.008958613
1736393984,731,0.009864126
1736393985,732,0.016630972
1736393986,733,0.019564811
1736393987,734,0.006198504
1736393989,735,0.007305026
1736393992,738,0.007883875
1736393993,739,0.011923522
1736393994,740,0.008903184
1736393999,742,0.010955316
1736394002,743,0.009727013
1736394005,744,0.018531041
1736394007,745,0.007712277
1736394010,746,0.008866363
1736394023,751,0.011003786
1736394025,752,0.010043305
1736394028,753,0.010856487
1736394033,755,0.009608382
1736394035,756,0.013006368
1736394038,757,0.012015062
1736394041,758,0.011323812
1736394044,759,0.007435332
1736394052,762,0.009091326
1736394054,763,0.008461419
1736394054,764,0.007673209
1736394084,765,0.011704741
1736394087,766,0.010033611
1736394090,767,0.006735534
1736394092,768,0.010469588
1736394095,769,0.011074185
1736394097,770,0.011197322
1736394099,771,0.011322834
1736394101,772,0.008351839
1736394104,773,0.016749658
1736394109,775,0.008576787
1736394112,776,0.009456963
1736394114,777,0.01567089
1736394117,778,0.018422166
1736394119,779,0.005837685
1736394121,780,0.006923711
1736394122,781,0.013791263
1736394123,782,0.009943347
1736394125,783,0.007334939
1736394128,786,0.007295604
1736394129,787,0.010190066
1736394130,788,0.009341711
1736394131,789,0.017255034
1736394132,790,0.007173564
1736394133,791,0.008298268
1736394136,793,0.01013583
1736394137,794,0.010861548
1736394138,795,0.009214002
1736394139,796,0.010049443
1736394140,797,0.009395131
1736394142,799,0.010697487
1736394143,800,0.00879093
1736394148,804,0.006835345
1736394149,805,0.007866338
1736394151,806,0.012210799
1736394152,807,0.008356538
1736394154,808,0.007650849
1736394182,810,0.011177542
1736394183,811,0.009340601
1736394186,813,0.009902556
1736394187,814,0.010510721
1736394188,815,0.010509543
1736394190,817,0.007861785
1736394191,818,0.01608631
1736394192,819,0.014736841
1736394193,820,0.00786781
1736394195,821,0.008757822
1736394196,822,0.015183252
1736394197,823,0.017754594
1736394198,824,0.005300933
1736394199,825,0.006351573
1736394200,826,0.013761135
1736394201,827,0.009547042
1736394202,828,0.006859048
1736394203,829,0.010755054
1736394204,830,0.007810195
1736394207,832,0.009941068
1736394208,833,0.009115027
1736394209,834,0.016729657
1736394211,835,0.006783842
1736394212,836,0.007833683
