Wall time,Step,Value
1736405999,4,1.113081336
1736406048,14,1.086743951
1736406053,15,1.084158063
1736406069,18,1.069934964
1736406073,19,1.066682458
1736406084,22,1.050903797
1736406105,26,1.027354717
1736406111,27,1.01965344
1736406179,40,0.920054257
1736406215,47,0.860472798
1736406221,48,0.842734277
1736406226,49,0.838150024
1736406253,54,0.791324914
1736406293,62,0.723841488
1736406296,63,0.703483701
1736406303,66,0.676469684
1736406306,67,0.658956289
1736406314,70,0.631719768
1736406317,71,0.614511728
1736406333,77,0.566245675
1736406345,82,0.495199323
1736406372,89,0.438104302
1736406401,99,0.343132943
1736406410,103,0.321867853
1736406418,106,0.285915911
1736406420,107,0.289325953
1736406456,121,0.177119404
1736406465,125,0.169637173
1736406468,126,0.212050527
1736406472,128,0.159152299
1736406476,130,0.17600213
1736406501,136,0.130271167
1736406521,144,0.129546434
1736406527,146,0.112566575
1736406529,147,0.126446575
1736406537,150,0.106959619
1736406559,157,0.113311768
1736406569,160,0.118913911
1736406577,162,0.090340495
1736406582,164,0.100548297
1736406600,171,0.083259434
1736406603,172,0.094860598
1736406621,177,0.081170499
1736406643,184,0.070674159
1736406646,185,0.087803215
1736406649,186,0.077115536
1736406668,191,0.059541129
1736406672,192,0.065359309
1736406706,199,0.08841116
1736406719,202,0.064956129
1736406723,203,0.058054321
1736406731,205,0.076018453
1736406754,211,0.05868829
1736406764,213,0.059479933
1736406771,215,0.050797645
1736406794,220,0.063748591
1736406800,221,0.054398973
1736406815,224,0.057786461
1736406841,229,0.047422811
1736406919,244,0.056344982
1736406924,245,0.046568789
1736406963,258,0.045745049
1736406965,259,0.048355494
1736406967,260,0.064462505
1736406995,271,0.036921255
1736407002,274,0.033764116
1736407015,278,0.03679733
1736407025,282,0.069932573
1736407032,285,0.041399498
1736407039,288,0.040142581
1736407043,290,0.035498619
1736407056,295,0.038226672
1736407061,297,0.03229421
1736407063,298,0.045591131
1736407085,308,0.032008138
1736407093,312,0.034587849
1736407102,316,0.033995636
1736407107,318,0.046486799
1736407110,319,0.035495888
1736407117,322,0.035542417
1736407163,337,0.025098601
1736407165,338,0.027807703
1736407185,345,0.02701417
1736407188,346,0.036149625
1736407206,352,0.02573489
1736407211,354,0.04572776
1736407224,358,0.033086017
1736407245,364,0.04084491
1736407248,365,0.035960943
1736407251,366,0.032831561
1736407256,367,0.038392741
1736407285,378,0.032569669
1736407308,386,0.02046687
1736407319,390,0.027316451
1736407329,392,0.029900519
1736407355,397,0.021465236
1736407379,402,0.019141603
1736407388,404,0.018178754
1736407429,415,0.024198713
1736407452,421,0.024922155
1736407455,422,0.021340361
1736407465,426,0.027419617
1736407498,436,0.018157598
1736407500,437,0.020556381
1736407505,439,0.021015456
1736407516,443,0.026509305
1736407518,444,0.01962642
1736407522,446,0.035753939
1736407533,450,0.018358307
1736407540,452,0.022255724
1736407550,456,0.018300381
1736407566,461,0.018695449
1736407576,465,0.016933965
1736407582,468,0.019621164
1736407586,470,0.021123003
1736407597,474,0.017258601
1736407601,475,0.026117312
1736407614,480,0.020206785
1736407617,481,0.016958179
1736407631,487,0.023099167
1736407636,489,0.02081533
1736407647,494,0.016653137
1736407696,510,0.019731883
1736407698,511,0.01855872
1736407700,512,0.01318363
1736407703,513,0.018057358
1736407706,514,0.017255357
1736407717,517,0.020138687
1736407722,518,0.016125128
1736407725,519,0.015659928
1736407778,533,0.011050395
1736407783,534,0.013447084
1736407789,536,0.01435568
1736407793,537,0.01572993
1736407798,538,0.012134572
1736407808,540,0.013199678
1736407823,544,0.019067608
1736407829,546,0.015497295
1736407846,550,0.013690495
1736407852,552,0.012474902
1736407868,556,0.011465137
1736407884,562,0.012207214
1736407889,564,0.020896243
1736407901,568,0.012339457
1736407914,573,0.010693032
1736407941,584,0.016810585
1736407944,585,0.016124535
1736407953,588,0.020622008
1736407957,590,0.014929491
1736407959,591,0.011754294
1736407966,594,0.017522939
1736407971,596,0.012848274
1736407988,603,0.01206055
1736407999,608,0.010991471
1736408010,613,0.015442061
1736408013,614,0.015023987
1736408032,622,0.012583552
1736408034,623,0.019363457
1736408041,626,0.017007206
