Wall time,Step,Value
1733016776,172,0.836036682
1733016910,244,0.572204351
1733016941,259,0.524375677
1733017208,402,0.167119235
1733017327,465,0.103412949
1733017413,510,0.092318185
1733017502,556,0.093989253
1733017691,658,0.062268466
1733017966,804,0.052484874
1733018386,1026,0.031282876
1733018407,1037,0.036849145
1733018587,1132,0.03005277
1733018686,1184,0.030379349
1733018848,1271,0.027981419
1733019132,1417,0.027973507
1733019210,1458,0.029761694
1733019276,1494,0.029452849
1733019308,1510,0.023189006
1733019376,1548,0.024699984
1733019410,1565,0.019707931
1733020132,1940,0.018048067
1733020169,1960,0.019940395
1733021070,2436,0.013539481
1733021079,2441,0.013522809
1733021115,2462,0.011109455
1733021193,2503,0.016352717
1733021332,2577,0.013583477
1733021532,2684,0.013895531
1733021549,2693,0.014585023
1733021577,2708,0.02172065
1733021598,2717,0.010285644
1733021692,2768,0.01653249
1733022283,3083,0.011292877
1733022325,3104,0.014476597
1733022326,3105,0.008500934
1733022402,3145,0.011624475
1733022587,3241,0.013107973
1733022631,3265,0.009294272
1733022800,3356,0.013257687
1733023086,3500,0.012610047
1733023210,3566,0.006009871
1733023273,3600,0.006844372
1733023304,3616,0.018506892
1733023376,3654,0.007156184
1733023403,3668,0.008469185
1733023406,3671,0.012381507
1733023745,3848,0.008251671
1733023867,3915,0.008476906
1733024067,4023,0.011792781
1733024230,4109,0.009994805
1733024252,4121,0.006233159
1733024362,4181,0.007962337
1733024383,4192,0.005243491
1733024449,4227,0.007917743
1733024616,4318,0.024648724
1733024637,4328,0.008200436
1733025077,4564,0.012378881
1733025579,4832,0.008123768
1733026058,5090,0.009051999
1733026144,5136,0.013220381
1733026235,5187,0.004000427
1733026258,5200,0.00719141
1733026388,5262,0.009831041
1733026449,5295,0.004559085
1733026574,5362,0.005074972
1733026745,5454,0.004545583
1733027145,5667,0.009839369
1733027447,5832,0.004361356
1733027512,5866,0.006579011
1733027535,5879,0.01119214
1733027730,5981,0.007549743
1733027759,5997,0.004670719
1733027863,6053,0.006336351
1733028019,6138,0.003954226
1733028183,6225,0.00688396
1733028282,6279,0.004317073
1733028383,6334,0.008860052
1733028448,6369,0.003823305
1733028823,6569,0.006725504
1733029128,6730,0.00370561
1733029163,6750,0.004825444
1733029350,6850,0.003387462
1733029479,6919,0.007264428
1733029626,6991,0.003994104
1733029636,6996,0.007892298
1733029746,7054,0.008796234
1733030120,7253,0.008724533
1733030461,7436,0.004040682
1733030511,7464,0.004743651
1733030661,7543,0.008324467
1733030848,7644,0.006149212
1733031007,7727,0.002419764
1733031012,7730,0.006262705
1733031058,7756,0.006491495
1733031133,7794,0.002695757
1733031488,7986,0.009293153
1733031744,8122,0.004550526
1733032059,8291,0.005120001
1733032542,8548,0.004467292
1733032553,8554,0.003900011
1733032673,8618,0.003719778
1733032751,8659,0.003582853
1733032829,8694,0.005230683
1733032884,8724,0.006347964
1733032938,8752,0.00527464
1733032983,8776,0.00819897
1733032985,8778,0.004768557
1733033072,8823,0.00596533
1733033091,8833,0.005440247
